ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
27A-luo,luo,27A,2,27A-2,,Omondi-1982,
23A-mai,mai,23A,2,23A-2,,,
24A-mai,mai,24A,2,24A-2,,,
25A-mai,mai,25A,2,25A-2,,,
25B-mai,mai,25B,2,25B-2,,,
26A-mai,mai,26A,2,26A-2,,Davis-1973a[passim];Grierson-1903[passim];Jha-1958[passim];Yadav-1996[passim],
20A-mal,mal,20A,1,20A-1,,Dez-1980b;Domenichini-Ramiaramanana-1977;Keenan-2000;Rajemisa-Raolison-1969,
21A-mal,mal,21A,1,21A-1,,Dez-1980b;Domenichini-Ramiaramanana-1977;Keenan-2000;Rajemisa-Raolison-1969,
21B-mal,mal,21B,1,21B-1,,Keenan-2000;Domenichini-Ramiaramanana-1977;Dez-1980b;Rajemisa-Raolison-1969,
22A-mal,mal,22A,3,22A-3,,Rajemisa-Raolison-1969,
23A-mal,mal,23A,2,23A-2,,Keenan-2000,
24A-mal,mal,24A,5,24A-5,,Keenan-2000,
25A-mal,mal,25A,5,25A-5,,Keenan-2000,
25B-mal,mal,25B,2,25B-2,,Keenan-2000,
26A-mal,mal,26A,1,26A-1,,Bennett-1986[passim];Dez-1980b[passim];Dez-1990[passim];Domenichini-Ramiaramanana-1977[passim];Keenan-1976[passim],
27A-mal,mal,27A,1,27A-1,,Rasoloson-and-Rubino-2004,
28A-mal,mal,28A,1,28A-1,,Dez-1980b;Domenichini-Ramiaramanana-1977,
29A-mal,mal,29A,3,29A-3,,Dez-1980a;Domenichini-Ramiaramanana-1977,
20A-mao,mao,20A,7,20A-7,,Bauer-1993,
21A-mao,mao,21A,1,21A-1,,Bauer-1993;Harlow-1996,
21B-mao,mao,21B,1,21B-1,,Bauer-1993;Harlow-1996,
23A-mao,mao,23A,2,23A-2,,Bauer-1993,
24A-mao,mao,24A,2,24A-2,,Bauer-1993,
25A-mao,mao,25A,2,25A-2,,Bauer-1993,
25B-mao,mao,25B,2,25B-2,,Bauer-1993,
26A-mao,mao,26A,1,26A-1,,Bauer-1993[passim],
27A-mao,mao,27A,1,27A-1,,Bauer-1993,
28A-mao,mao,28A,1,28A-1,,Bauer-1993,
29A-mao,mao,29A,1,29A-1,,Bauer-1993,
20A-mei,mei,20A,1,20A-1,,Bhat-and-Ningomba-1997;Chelliah-1997,
21A-mei,mei,21A,1,21A-1,,Bhat-and-Ningomba-1997;Chelliah-1997,
21B-mei,mei,21B,1,21B-1,,Chelliah-1997;Bhat-and-Ningomba-1997,
22A-mei,mei,22A,3,22A-3,,Bhat-and-Ningomba-1997;Chelliah-1997,
23A-mei,mei,23A,2,23A-2,,Chelliah-1997,
24A-mei,mei,24A,2,24A-2,,Chelliah-1997,
25A-mei,mei,25A,2,25A-2,,Chelliah-1997,
25B-mei,mei,25B,2,25B-2,,Chelliah-1997,
26A-mei,mei,26A,3,26A-3,,Chelliah-1997[passim],
27A-mei,mei,27A,1,27A-1,,Chelliah-1997,
