lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
ell_Grek,ell,grk,Grek,mode1248,Greek,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.2487795,0.003433846932,1.613331432,0.004359958489,0.5169611596,0.007327460445,9.696859999,0.02057792113,8.351142064,0.02188137361,9.0,0.0,3.668587514,0.509442181,-0.3470446494,0.0,Indo-European,Greek,0.0,0.322229624694648,0.52,0.41511663616689093,0.6754410575827845
eng_Latn,eng,eng,Latn,stan1293,English,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.21322975,0.00280262133025,1.1999853225,0.003989466543,0.3447120456,0.0072129421485,9.6080137905,0.0268911208775,9.191172055,0.02551200588,6.1375,0.2363814489,3.72410539275,0.361524383475,-0.67024734315,0.0,Indo-European,Germanic,0.3289541778517688,0.250287797390637,0.0,0.3612439683565323,0.3844439063173674
epo_Latn,epo,,Latn,espe1235,Esperanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.014942533917982,0.3344983031960695,0.73,,
eus_Latn,eus,bsq,Latn,basq1248,Basque,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,3.0,0.3767215,0.003945125188,1.779372454,0.004188887633,0.5698891725,0.00639943772,11.32465899,0.02550663366,9.678489659,0.02305751699,19.13,1.411771936,3.76816246,0.7769198296,-0.3170176164,0.0,Basque,Basque,0.0,0.4201880728484704,0.61,0.6524873930407307,0.8742562979384555
ewe_Latn,ewe,ewe,Latn,ewee1241,Ewe,,,,,4.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,Niger-Congo,Gbe,0.0024143425780275,0.1974485116317852,0.66,,
fao_Latn,fao,far,Latn,faro1244,Faroese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.0005360801101878,0.318676946033325,0.61,,
fij_Latn,fij,fij,Latn,fiji1243,Fijian,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,Austronesian,Oceanic,0.0012372760539751,0.1187940761636107,0.66,,
fil_Latn,fil,,Latn,fili1244,Filipino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.2273790178748365,0.57,,
fin_Latn,fin,fin,Latn,finn1318,Finnish,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,0.49185625,0.0045681495215,1.6473674535,0.0041420045035,0.51525612905,0.0061992570845,11.9248204,0.02699064425,10.52468358,0.03468530106,16.645,0.3949820872999999,3.7842248115,0.76835147515,-0.18550286815,0.0,Uralic,Finnic,0.0,0.5442154255319149,0.53,0.5589332145876035,0.686841632123994
fon_Latn,fon,fon,Latn,fonn1241,Fon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Gbe,0.0011371548285524,0.1763473362415415,0.65,,
fra_Latn,fra,fre,Latn,stan1290,French,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.254833,0.0033324219935,1.259284245,0.0041378975725,0.44809908045,0.007850307575,9.450808215,0.025368553565,8.647569557499999,0.028037943415,6.5,0.0,3.3477259725,0.26886062565,-0.5554926184,0.0,Indo-European,Romance,0.0224653116736396,0.2482533015629417,0.46,0.4039850921398672,0.4972663586153365
fur_Latn,fur,,Latn,east2271,Friulian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.000176528578925,0.2229600763480197,0.57,,
fuv_Latn,fuv,fni,Latn,nige1253,Nigerian Fulfulde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Peul-Serer,0.0014414518530033,0.2453746530989824,1.0,,
gaz_Latn,gaz,owc,Latn,west2721,West Central Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Lowland East Cushitic,0.0015867023727812,0.4198963618698046,0.91,,
gla_Latn,gla,gae,Latn,scot1245,Scottish Gaelic,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,Indo-European,Celtic,0.0014916164019469,0.2103253458016754,0.55,,
gle_Latn,gle,iri,Latn,iris1253,Irish,,,,,,,,,4.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,Indo-European,Celtic,0.004251864048641,0.239448680830241,0.62,0.38064422275612025,0.2954942567819
glg_Latn,glg,glc,Latn,gali1258,Galician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Romance,0.0206896521366961,0.2772361359570662,0.67,0.44540999870445147,0.590367762152982
gom_Deva,gom,,Deva,goan1235,Goan Konkani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.4357761107905366,0.57,,
gug_Latn,gug,gua,Latn,para1311,Paraguayan Guaraní,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,,1.0,3.0,,,,,,,,,,,,,,,,,Tupian,Maweti-Guarani,0.0,0.3730949925518506,0.71,,
guj_Gujr,guj,guj,Gujr,guja1252,Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0163961510511009,0.3622531237404272,0.68,,
hat_Latn,hat,hcr,Latn,hait1244,Haitian Creole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Creoles and Pidgins,0.00357963422104,0.1934686025740851,0.65,,
