lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,81A,ttr_flores,rttr_flores,mattr_flores,ttr,msp,ws,wh,lh,is,mfh,-ia,h_dep,h_codep,SO_prop,head_finality,wiki_size
lus_Latn,lus,miz,Latn,lush1249,Mizo,Sino-Tibetan,Kuki-Chin,1.0,0.4,0.76,0.4332,0.5687,0.6,,,,,,,,,1.0,,,,1.0,0.1779913322027511,28.99401769319997,0.5018135658319143,,,,,,,,,,,,,
lvs_Latn,lvs,,Latn,stan1325,Standard Latvian,Eastern Sudanic,Eastern Nilotic,1.0,1.0,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.3666946642500331,55.15190150805342,0.6329281258475732,,,,,,,,,,,-0.76703976158464,0.54,128580.0
mag_Deva,mag,mgh,Deva,maga1260,Magahi,Indo-European,Indic,0.9,0.4,0.89,0.5983,0.5687,0.9,,,,,,,,,,,,,1.0,0.226657645466847,34.85520018164148,0.5526573934079323,,,,,,,,,,,,,
mai_Deva,mai,mai,Deva,mait1250,Maithili,Indo-European,Indic,0.9,0.4,0.63,0.4882,0.5687,0.6,,,,,2.0,2.0,2.0,2.0,2.0,,,,,0.2415696420871065,36.786860901305104,0.5775669648759385,,,,,,,,,,,,,14108.0
mal_Mlym,mal,mym,Mlym,mala1464,Malayalam,Dravidian,Dravidian,1.0,0.4,0.77,0.5076,0.5687,0.6,,,,,,,,,,2.0,,,1.0,0.5272394233041834,68.58977601759047,0.7549677929984806,,,,,,,,,,,,,85768.0
mar_Deva,mar,mhi,Deva,mara1378,Marathi,Indo-European,Indic,0.9,0.4,0.7,0.4513,0.5687,0.6,,,,,,,,,2.0,,,,1.0,0.356672953949487,52.5859811353784,0.6780246727563958,,,,,,,,,0.2251422318931376,0.494141805495958,,0.86,97181.0
mhr_Cyrl,mhr,mme,Cyrl,gras1239,Meadow Mari,Uralic,Mari,1.0,0.2,0.8,0.5249,0.4054,0.6,,,,,,,,,2.0,3.0,,,,0.3939687055476529,52.22872119066241,0.7506791988756094,,,,,,,,,,,,,11357.0
min_Arab,min,min,Arab,mina1268,Minangkabau (Jawi script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.65,0.4776,0.5687,0.6,,,,,,,,,1.0,1.0,,,7.0,0.3342406656052591,46.63944952247,0.6369507695551317,,,,,,,,,,,,,
min_Latn,min,min,Latn,mina1268,Minangkabau (Latin script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.65,0.4776,0.5687,0.6,,,,,,,,,1.0,1.0,,,7.0,0.2664754953076121,36.90469152448243,0.6054199453990594,,,,,,,,,,,,,227668.0
mkd_Cyrl,mkd,mcd,Cyrl,mace1250,Macedonian,Indo-European,Slavic,0.9,0.1,0.57,0.5064,0.5687,0.6,,,,,,,,,,,,,2.0,0.3083073642775135,48.14730596827432,0.5750112604127561,,,,,,,,,,,,,145341.0
mlt_Latn,mlt,mlt,Latn,malt1254,Maltese,Afro-Asiatic,Semitic,1.0,0.1,0.86,0.5207,0.5687,0.7,,,,,,,,,,,,,,0.3995223102811855,54.22623169342975,0.7145761312280183,,,,,,,,,,,,0.36,6653.0
mni_Beng,mni,mei,Beng,mani1292,"Meitei (Manipuri, Bengali script)",Sino-Tibetan,Manipuri,1.0,0.4,0.69,0.492,0.4576,0.6,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,,0.4079489857621901,55.02171774255338,0.732026452633954,,,,,,,,,,,,,
