lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
tel_Telu,1.0,0.1,0.92,0.5367,0.4934,0.6
tgk_Cyrl,1.0,0.2,0.7,0.6153,0.5456,0.8
tha_Thai,1.0,0.0,0.42,0.4466,0.3277,0.4
tir_Ethi,1.0,0.4,0.83,0.4997,0.5456,0.6
tpi_Latn,1.0,0.3,0.83,0.656,0.5456,0.7
tsn_Latn,1.0,0.5,0.87,0.6153,0.5456,0.9
tso_Latn,1.0,0.5,0.74,0.6153,0.5456,0.9
tuk_Latn,1.0,0.3,0.85,0.6153,0.8136,0.9
tum_Latn,1.0,0.4,0.66,0.6153,0.5456,0.6
tur_Latn,1.0,0.4,0.82,0.5125,0.4788,0.6
twi_Latn_akua1239,1.0,0.6,0.76,0.6153,0.5456,0.9
twi_Latn_asan1239,1.0,0.6,0.76,0.6153,0.5456,0.9
uig_Arab,1.0,0.2,0.86,0.6153,0.8934,0.9
ukr_Cyrl,1.0,0.4,0.61,0.5227,0.5456,0.6
umb_Latn,1.0,0.5,0.66,0.4779,0.3918,0.6
urd_Arab,1.0,0.2,0.75,0.5018,0.5456,0.6
uzn_Latn,1.0,0.3,0.89,0.5806,0.8136,0.7
vec_Latn,1.0,0.4,0.66,0.6153,0.5456,0.6
vie_Latn,0.0,0.0,0.0,0.0,0.0,0.0
war_Latn,1.0,0.1,0.87,0.6153,0.5456,0.9
wol_Latn,1.0,0.6,0.44,0.426,0.4934,0.4
xho_Latn,1.0,0.5,0.64,0.4587,0.5456,0.6
ydd_Hebr,1.0,0.4,0.74,0.4904,0.5456,0.6
yor_Latn,1.0,0.6,0.5,0.5466,0.5587,0.5
yue_Hant,1.0,0.0,0.64,0.5875,0.3862,0.6
zgh_Tfng,1.0,1.0,0.66,0.6153,0.5456,0.6
zsm_Latn,1.0,0.1,0.74,0.5303,0.5456,0.6
zul_Latn,1.0,0.5,0.72,0.5562,0.409,0.6
