lang,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea
tso_Latn,1.0,0.4,0.95,0.6196,0.5922,1.0
tuk_Latn,0.4286,0.1,0.64,0.6196,1.0,0.8
tum_Latn,1.0,0.3,0.55,0.6196,0.5922,0.6
tur_Latn,0.0,0.0,0.0,0.0,0.0,0.0
twi_Latn_akua1239,1.0,0.3,0.81,0.6196,0.5922,0.9
twi_Latn_asan1239,1.0,0.3,0.81,0.6196,0.5922,0.9
uig_Arab,0.5714,0.2,0.52,0.6196,1.0,0.7
ukr_Cyrl,1.0,0.1,0.69,0.4752,0.5922,0.6
umb_Latn,1.0,0.3,0.55,0.5371,0.4278,0.6
urd_Arab,1.0,0.2,0.68,0.5459,0.5922,0.6
uzn_Latn,0.4286,0.1,0.56,0.5582,1.0,0.6
vec_Latn,1.0,0.1,0.55,0.6196,0.5922,0.6
vie_Latn,1.0,0.4,0.82,0.5125,0.4788,0.6
war_Latn,1.0,0.5,0.9,0.6196,0.5922,0.9
wol_Latn,1.0,0.3,0.74,0.5125,0.2952,0.6
xho_Latn,1.0,0.4,0.81,0.5102,0.5922,0.7
ydd_Hebr,1.0,0.1,0.8,0.4638,0.5922,0.6
yor_Latn,1.0,0.2,0.86,0.5,0.5064,0.7
yue_Hant,1.0,0.4,0.67,0.6028,0.5064,0.6
zgh_Tfng,1.0,1.0,0.55,0.6196,0.5922,0.6
zsm_Latn,1.0,0.4,0.8,0.484,0.5922,0.6
zul_Latn,1.0,0.4,0.67,0.5508,0.5049,0.6
