lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
sun_Latn,sun,sun,Latn,sund1252,Sundanese,Austronesian,Malayo-Sumbawan,0.6,0.003512278254606,,,,,,,,,1.0,1.0,,,0.2924195445311665,,,,,,,,,,,,,,,,,,
swh_Latn,swh,swa,Latn,swah1253,Swahili,Niger-Congo,Bantu,0.71,0.0092687779035118,1.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,2.0,0.2630923314564751,,,,,,,,,,,,,,,,,,
tam_Taml,tam,tml,Taml,tami1289,Tamil,Dravidian,Dravidian,0.71,0.0156680967085095,,,,,,,,,2.0,1.0,,,0.5201134930643128,,,,,,,,,,,,,,,,,0.1587796773751695,0.8344068484238656
taq_Latn,taq,tsk,Latn,tama1365,Tamasheq (Latin script),Afro-Asiatic,Berber,0.7,8.519324731813641e-05,,,,,,,,,4.0,,,,0.3665861235761132,,,,,,,,,,,,,,,,,,
taq_Tfng,taq,tsk,Tfng,tama1365,Tamasheq (Tifinagh script),Afro-Asiatic,Berber,0.7,1.1292580453825333e-06,,,,,,,,,4.0,,,,0.2268484492135822,,,,,,,,,,,,,,,,,,
tat_Cyrl,tat,tvo,Cyrl,tata1255,Tatar,Altaic,Turkic,0.75,0.0031496358056737,,,,,,,,,2.0,,,,0.4161965209214857,,,,,,,,,,,,,,,,,,
tel_Telu,tel,tel,Telu,telu1262,Telugu,Dravidian,Dravidian,0.74,0.0218149214012385,,,,,,,,,2.0,,,,0.4694408322496749,,,,,,,,,,,,,,,,,0.0950312321375986,0.6932028762667986
tgk_Cyrl,tgk,taj,Cyrl,taji1245,Tajik,Indo-European,Iranian,0.68,0.0034651418969041,,,,,,,,,3.0,,,,0.3211584490186692,,,,,,,,,,,,,,,,,,
tha_Thai,tha,tha,Thai,thai1261,Thai,Tai-Kadai,Kam-Tai,0.56,0.0,7.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.865656037637219,,,,,,,,,,,,,,,,,,
tir_Ethi,tir,tig,Ethi,tigr1271,Tigrinya,Afro-Asiatic,Semitic,0.72,0.0016130436432443,,,,,,,,,,1.0,,,0.4348601058658312,,,,,,,,,,,,,,,,,,
tsn_Latn,tsn,tsw,Latn,tswa1253,Tswana,Niger-Congo,Bantu,1.0,0.0030695049822396,,,,,,,,,,2.0,,,0.170281959298622,,,,,,,,,,,,,,,,,,
tuk_Latn,tuk,tkm,Latn,turk1304,Turkmen,Altaic,Turkic,0.82,0.0004093993482145,,,,,,,,,,1.0,,,0.441394879106517,,,,,,,,,,,,,,,,,,
war_Latn,war,wwy,Latn,wara1300,Waray,Austronesian,Greater Central Philippine,1.0,0.002457460615118,,,,,,,,,,1.0,,,0.2035141919289438,,,,,,,,,,,,,,,,,,
wol_Latn,wol,wlf,Latn,nucl1347,Wolof,Niger-Congo,Wolof,0.49,0.0009039622216317,,,,,,,,,1.0,2.0,,,0.2439160239931448,,,,,,,,,,,,,,,,,,
xho_Latn,xho,xho,Latn,xhos1239,Xhosa,Niger-Congo,Bantu,0.76,0.0046370872822186,,,,,,,,,6.0,1.0,,,0.5995598826353694,,,,,,,,,,,,,,,,,,
yor_Latn,yor,yor,Latn,yoru1245,Yoruba,Niger-Congo,Defoid,0.61,0.0034080223729296,4.0,1.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,0.2502785917701927,,,,,,,,,,,,,,,,,,
yue_Hant,yue,cnt,Hant,xian1255,Yue Chinese (Hong Kong Cantonese),Sino-Tibetan,Chinese,0.59,0.0,,,,,,,,,1.0,,,,0.9661266568483065,,,,,,,,,,,,,,,,,0.514203800491043,
zul_Latn,zul,zul,Latn,zulu1248,Zulu,Niger-Congo,Bantu,0.7,0.0048558382231948,1.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,6.0,2.0,1.0,2.0,0.5636654235482152,,,,,,,,,,,,,,,,,,
