lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
ind_Latn,ind,ind,Latn,indo1316,Indonesian,Austronesian,Malayo-Sumbawan,0.52,0.0040779026946507,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,0.2534618662121857,0.302711,0.003485122523,1.038599384,0.001842578583,0.3359898069,0.005788804623,10.75660006,0.02742603645,10.68784507,0.02990780641,6.7,0.4582575695,2.711112641,0.3036415377,-0.8030036024,0.0,0.3237585665377339,0.4990354825170898
isl_Latn,isl,ice,Latn,icel1247,Icelandic,Indo-European,Germanic,0.47,0.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.3507216494845361,,,,,,,,,,,,,,,,,,
ita_Latn,ita,ita,Latn,ital1282,Italian,Indo-European,Romance,0.51,0.0,,,,,,,,,2.0,3.0,,,0.275741935483871,0.2437408333333333,0.0030536672763333,1.304717124666667,0.0044521739226666,0.5009519405333334,0.0085614510436666,9.430709779666666,0.0259568482333333,8.619637586000001,0.0266694245966666,6.0,0.0,3.492087011333333,0.3069961418,-0.5456943969666667,0.0,0.4682571438046256,0.643149735768213
jpn_Jpan,jpn,jpn,Jpan,nucl1643,Japanese,Japanese,Japanese,0.66,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.9937106918238994,0.2827255,0.00323656836,1.043163617,0.002361720004,0.3218547644,0.008011033919,9.533716339,0.02308107841,9.313048038,0.02684178501,0.0,0.0,1.342381297,1.342407073,-0.9159938381,0.0,0.0,0.4688421344479345
kac_Latn,kac,jng,Latn,kach1280,Jingpho,Sino-Tibetan,Brahmaputran,0.75,0.0001955523739544,,,,,,,,,1.0,,,,0.085017087355357,,,,,,,,,,,,,,,,,,
kam_Latn,kam,kba,Latn,kamb1297,Kamba,Niger-Congo,Bantu,0.81,0.0008891090046767,,,,,,,,,6.0,,,,0.3275677255895537,,,,,,,,,,,,,,,,,,
kan_Knda,kan,knd,Knda,nucl1305,Kannada,Dravidian,Dravidian,0.64,0.0183927868584548,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,0.5561136814276272,,,,,,,,,,,,,,,,,,
kat_Geor,kat,geo,Geor,nucl1302,Georgian,Kartvelian,Kartvelian,0.61,0.0026404078945849,1.0,1.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,0.5013835085777532,,,,,,,,,,,,,,,,,,
khk_Cyrl,khk,kha,Cyrl,halh1238,Halh Mongolian,Altaic,Mongolic,0.69,0.0031078213477478,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.3635584137191854,,,,,,,,,,,,,,,,,,
khm_Khmr,khm,khm,Khmr,cent1989,Khmer (Central),Austro-Asiatic,Khmer,0.64,0.0021057249061706,,,,,,,,,1.0,1.0,1.0,1.0,0.9061100161261424,,,,,,,,,,,,,,,,,,
kik_Latn,kik,kik,Latn,kiku1240,Kikuyu,Niger-Congo,Bantu,0.75,0.0009931174451827,,,,,,,,,6.0,1.0,,,0.2748686514886164,,,,,,,,,,,,,,,,,,
kir_Cyrl,kir,kgz,Cyrl,kirg1245,Kyrgyz,Altaic,Turkic,0.77,0.0061157125668648,,,,,,,,,2.0,,,,0.4467693440510523,,,,,,,,,,,,,,,,,,
knc_Arab,knc,knr,Arab,cent2050,Central Kanuri (Arabic script),Saharan,Western Saharan,0.73,0.0023929650832001,,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,0.5669509103480065,,,,,,,,,,,,,,,,,,
knc_Latn,knc,knr,Latn,cent2050,Central Kanuri (Latin script),Saharan,Western Saharan,0.73,0.0002230136029052,,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,0.3806918017972789,,,,,,,,,,,,,,,,,,
kor_Hang,kor,kor,Hang,kore1280,Korean,Korean,Korean,0.62,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5933598937583001,0.5807387500000001,0.005538113876,0.995823606,0.00067443091565,0.222727112,0.0030324731495,12.760775425,0.02299842258,12.77096616,0.0219841214,0.0,0.0,1.218765428,1.2187962495,-0.8032718347,0.0,0.0844287151009395,0.232509952140781
lao_Laoo,lao,lao,Laoo,laoo1244,Lao,Tai-Kadai,Kam-Tai,0.59,0.0014295106739919,,,,,,,,,1.0,,,,0.7758438818565401,,,,,,,,,,,,,,,,,,
lit_Latn,lit,lit,Latn,lith1251,Lithuanian,Indo-European,Baltic,0.68,0.0,,,,,,,,,2.0,,,,0.4805557240793545,,,,,,,,,,,,,,,,,0.4591375573468307,0.9625510362507196
lug_Latn,lug,lda,Latn,gand1255,Ganda,Niger-Congo,Bantu,0.78,0.0026269703985187,,,,,,,,,6.0,,,,0.4856547619047619,,,,,,,,,,,,,,,,,,
luo_Latn,luo,luo,Latn,luok1236,Luo,Eastern Sudanic,Western Nilotic,0.63,0.0021409594712226,,,,,,,,,4.0,2.0,,,0.2200707979698895,,,,,,,,,,,,,,,,,,
lus_Latn,lus,miz,Latn,lush1249,Mizo,Sino-Tibetan,Kuki-Chin,0.76,0.0013351374868971,,,,,,,,,1.0,,,,0.1779913322027511,,,,,,,,,,,,,,,,,,
mai_Deva,mai,mai,Deva,mait1250,Maithili,Indo-European,Indic,0.63,0.0022492172625263,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.2415696420871065,,,,,,,,,,,,,,,,,,
mal_Mlym,mal,mym,Mlym,mala1464,Malayalam,Dravidian,Dravidian,0.77,0.0187709187234896,,,,,,,,,,2.0,,,0.6043216436415161,,,,,,,,,,,,,,,,,,
mar_Deva,mar,mhi,Deva,mara1378,Marathi,Indo-European,Indic,0.7,0.013705689655231,,,,,,,,,2.0,,,,0.424388873279011,,,,,,,,,,,,,,,,,0.2251422318931376,0.494141805495958
mhr_Cyrl,mhr,mme,Cyrl,gras1239,Meadow Mari,Uralic,Mari,0.8,0.0,,,,,,,,,2.0,3.0,,,0.3939687055476529,,,,,,,,,,,,,,,,,,
min_Arab,min,min,Arab,mina1268,Minangkabau (Jawi script),Austronesian,Malayo-Sumbawan,0.65,0.0,,,,,,,,,1.0,1.0,,,0.3342406656052591,,,,,,,,,,,,,,,,,,
min_Latn,min,min,Latn,mina1268,Minangkabau (Latin script),Austronesian,Malayo-Sumbawan,0.65,0.0005183936280125,,,,,,,,,1.0,1.0,,,0.2664754953076121,,,,,,,,,,,,,,,,,,
mni_Beng,mni,mei,Beng,mani1292,"Meitei (Manipuri, Bengali script)",Sino-Tibetan,Manipuri,0.69,9.322733572110016e-05,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,0.4079489857621901,,,,,,,,,,,,,,,,,,
mni_Mtei,mni,mei,Mtei,mani1292,"Meitei (Manipuri, Meitei script)",Sino-Tibetan,Manipuri,0.69,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,0.3899730287164842,,,,,,,,,,,,,,,,,,
mos_Latn,mos,moo,Latn,moss1236,Mossi,Niger-Congo,Oti-Volta,0.68,0.0004135929016664,,,,,,,,,2.0,1.0,,,0.2575701089432915,,,,,,,,,,,,,,,,,,
mri_Latn,mri,mao,Latn,maor1246,Maori,Austronesian,Oceanic,0.53,0.0016933239889773,7.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1271267040050724,,,,,,,,,,,,,,,,,,
mya_Mymr,mya,brm,Mymr,nucl1310,Burmese,Sino-Tibetan,Burmese-Lolo,0.73,0.0026348369125403,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.8339107195882411,,,,,,,,,,,,,,,,,,
nld_Latn,nld,dut,Latn,dutc1256,Dutch,Indo-European,Germanic,0.49,0.0,,,,,,,,,2.0,,,,0.2605930264482474,0.2776345,0.002905767031,1.1522877355,0.0034340843605,0.4168981726,0.007091420108,9.8278255895,0.02616147395,9.491823557,0.025018012065,3.0,0.0,3.4666062695,0.23341611655,-0.5990001978499999,0.0,0.5224655205904492,0.65365583488978
npi_Deva,npi,nep,Deva,nepa1254,Nepali,Indo-European,Indic,0.88,0.0082764886659896,,,,,2.0,2.0,2.0,2.0,2.0,,,,0.4117647058823529,,,,,,,,,,,,,,,,,,
nus_Latn,nus,nue,Latn,nuer1246,Nuer,Eastern Sudanic,Western Nilotic,0.71,0.0004939368855486,,,,,,,,,2.0,,,,0.1701285116557083,,,,,,,,,,,,,,,,,,
ory_Orya,ory,oya,Orya,oriy1255,Odia,Indo-European,Indic,0.57,0.007842104506314,,,,,,,,,2.0,,,,0.3631878150809825,,,,,,,,,,,,,,,,,,
pag_Latn,pag,pnn,Latn,pang1290,Pangasinan,Austronesian,Northern Luzon,0.72,0.0009071410292379,,,,,,,,,,1.0,,,0.2658691877291144,,,,,,,,,,,,,,,,,,
pan_Guru,pan,pan,Guru,panj1256,Eastern Panjabi,Indo-European,Indic,0.65,0.0061080329557168,,,,,,,,,2.0,1.0,,,0.2388065843621399,,,,,,,,,,,,,,,,,,
pes_Arab,pes,prs,Arab,west2369,Western Persian,Indo-European,Iranian,0.72,0.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,0.2730387736699729,0.210736,0.002778867395,1.311090238,0.004401099533,0.1994997201,0.006480280061,9.746808365,0.02362500419,9.154790257,0.0284485492,6.0,0.0,2.883288676,0.02123794786,-0.6910323497,0.0,,
plt_Latn,plt,mal,Latn,plat1254,Plateau Malagasy,Austronesian,Barito,0.68,0.0023072113096052,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,0.2435938427807975,,,,,,,,,,,,,,,,,,
pol_Latn,pol,pol,Latn,poli1260,Polish,Indo-European,Slavic,0.59,0.0,,,,,,,,,2.0,,,,0.44462452728255,0.41142625,0.0035591261015,1.470589479,0.0035602757635,0.4674302978,0.005334552055,11.22041198,0.024075656755,10.303765575,0.022719405495,10.0,0.0,3.9787162085,0.826411,-0.2875060689499999,0.0,0.5495061104256599,0.8375117626189994
por_Latn,por,por,Latn,braz1246,Portuguese (Brazilian),Indo-European,Romance,0.47,0.0251887680822745,,,,,,,,,2.0,3.0,,,0.2700221589110478,0.286788,0.003077638055,1.269971018,0.00444164928,0.4226377998,0.008080790616,9.307546317,0.02991613103,8.717849644,0.02465421328,7.0,0.0,3.346369016,0.2441854357,-0.512995031,0.0,0.467103519419221,0.5343837013373006
